   Address    Size   nameS          FileAddr             Name   File

   59efd00      e0      16          2c99d220         monitor.sys   \SystemRoot\system32\DRIVERS\monitor.sys
   59f6950     140      12          2cd669f0           TSDDD.dll   \SystemRoot\System32\TSDDD.dll
  7da35160      e0      14          2cd66a40          lltdio.sys   \SystemRoot\system32\DRIVERS\lltdio.sys
  7da42750      f0      18          2b689d50        mrxsmb20.sys   \SystemRoot\system32\DRIVERS\mrxsmb20.sys
  7da52830      e0      14          2d5c4e90          rspndr.sys   \SystemRoot\system32\DRIVERS\rspndr.sys
  7da839e0     100      10          27550450            HTTP.sys   \SystemRoot\system32\drivers\HTTP.sys
  7dddb9d0      e0      12          2c99d290           luafv.sys   \SystemRoot\system32\drivers\luafv.sys
  7df0e660      e0      16          27316150         fastfat.SYS   \SystemRoot\System32\Drivers\fastfat.SYS
  7df298b0     140       e          2b016c40             dxg.sys   \SystemRoot\System32\drivers\dxg.sys
  7dfbcd30      f0      18          489ee710        asyncmac.sys   \SystemRoot\system32\DRIVERS\asyncmac.sys
  7e206210      e0      16          2725bfa0         portcls.sys   \SystemRoot\system32\drivers\portcls.sys
  7e2082b0      f0      16          2cd66330         HdAudio.sys   \SystemRoot\system32\drivers\HdAudio.sys
  7e269dd0      e0      16          2d45ab40         ksthunk.sys   \SystemRoot\system32\drivers\ksthunk.sys
  7e294000      f0      18          2c99d0c0        crashdmp.sys   \SystemRoot\System32\Drivers\crashdmp.sys
  7e2945b0      f0      20          2ca578c0    dump_LSI_SAS.sys   \SystemRoot\System32\Drivers\dump_LSI_SAS.sys
  7e295e80      f0      20          2cd66930    dump_dumpfve.sys   \SystemRoot\System32\Drivers\dump_dumpfve.sys
  7e3d39b0     150      18          2c99d2f0        framebuf.dll   \SystemRoot\System32\framebuf.dll
  7e3d6960      e0      12          27392220           Dxapi.sys   \SystemRoot\System32\drivers\Dxapi.sys
  7e3d7e40     1c0      14          2b6558a0          win32k.sys   \SystemRoot\System32\win32k.sys
